매수,이름,효과,,,
1,사냥의 계절,무뢰 속성 인물은 [지목] 성공 시 추가로 4냥 수여 받으세요,,,
1,추운 겨울날,"출발점을 돌 때 아무것도 받을 수 없으며, 2냥을 은행에 지불하세요",,,
1,풍년든 가을,출발점을 돌 때 미리내 조각을 1개 더 받습니다,,,
1,말이 살찌는 계절,주사위를 1개 추가하여 굴리세요,,,
1,외세의 침략,모든 참가자는 2냥을 은행에 지불하세요,,,
1,솔선 수범,[징표]를 가진 참가자는 3냥을 은행에 지불하세요,,,
1,기우제,"[징표]를 가진 참가자는, 미리내 조각을 1개 받고, 종료 시간을 1칸 당깁니다",,,
1,사랑과 우정,다른 참가자와 같은 칸에 도착한 참가자는 참가자 1명 당 4냥을 은행에서 받으세요,,,
1,구휼의 상징,[징표]를 가진 참가자는 4냥을 은행에서 받으세요,,,
1,성물의 날,미리내 조각을 받을 때 1개 더 받으세요,,,
1,배신의 징표,[현재 효과 없음],,,
1,잔꾀 부리기,"[잔꾀]를 1장 받으세요, 기존 [잔꾀]를 버리고 새로 받을 수 있어요",,,
1,전략 변경,"[잔꾀]를 최대 5장까지 받으세요, 기존 [잔꾀]를 버리고 장수 만큼 새로 받을 수 있어요",,,
1,모든 것을 자원으로,모든 [무거운 짐]과 [가벼운 짐] 카드를 제거하고 제거 비용의 2배 만큼 은행에서 수여 받으세요,,,
4,긴급 피난,모든 [무거운 짐]과 [가벼운 짐] 카드를 제거하고 제거 비용의 2배 만큼 은행에 지불하세요,,,
1,대규모 민란,주인 없는 모든 토지는 이번 턴 [분쟁 지역]으로 간주하여 [도착]시 통행료(1배)를 은행에 지불합니다,,,
1,운수 좋은 날,[운수]에 도착 하면 2장 여세요,,,
1,검은 달,"[검은색] 토지, 통행료를 2배로 받으세요",,,
1,휴가철,"[빨간색] 토지, 통행료를 2배로 받으세요",,,
1,어린이 보호구역,"[노란색] 토지, 통행료를 2배로 받으세요",,,
1,바다다!,"[파란색] 토지, 통행료를 2배로 받으세요",,,
1,멋진 설경,"[하얀색] 토지, 통행료를 2배로 받으세요",,,
1,곡식가득한 평야,"[초록색] 토지, 통행료를 2배로 받으세요",,,
1,밤인데 낮처럼 밝아요,[종료]를 3칸 앞당기세요,,,
4,길고 긴 겨울,[종료]를 1칸 앞당기세요,,,
2,맑고 포근한 하루,"모두 주사위 카드를 1장 선택하여 가지세요, *순서는 징표 기준 순서와 같습니다",,,
